WordID	Kanji	Onyomi	Kunyomi	English	JLPT Level	Category
316	九つ		ここのつ	Nine	N5	Vocabulary
317	午前		ごぜん	morning	N5	Vocabulary
318	答える		こたえる	to answer	N5	Vocabulary
319			こちら	this person or way	N5	Vocabulary
320			こっち	this person or way	N5	Vocabulary
321			コップ	a glass	N5	Vocabulary
322	今年		ことし	this year	N5	Vocabulary
323	言葉		ことば	word, language	N5	Vocabulary
324	子供		こども	Child	N5	Vocabulary
325			この	This	N5	Vocabulary
326	御飯		ごはん	cooked rice, meal	N5	Vocabulary
327			コピーする	to copy	N5	Vocabulary
328	困る		こまる	to be worried	N5	Vocabulary
329			これ	This	N5	Vocabulary
330	今月		こんげつ	this month	N5	Vocabulary
331	今週		こんしゅう	this week	N5	Vocabulary
332			こんな	Such	N5	Vocabulary
333	今晩		こんばん	this evening	N5	Vocabulary
334			さあ	well…	N5	Vocabulary
335	財布		さいふ	Wallet	N5	Vocabulary
336	魚		さかな	Fish	N5	Vocabulary
337	先		さき	the future, previous	N5	Vocabulary
338	咲く		さく	to bloom	N5	Vocabulary
339	作文		さくぶん	composition, writing	N5	Vocabulary
340	差す		さす	to stretch out hands, to raise an umbrella	N5	Vocabulary
341	雑誌		ざっし	Magazine	N5	Vocabulary
342	砂糖		さとう	Sugar	N5	Vocabulary
343	寒い		さむい	Cold	N5	Vocabulary
344	さ来年		さらいねん	year after next	N5	Vocabulary
345	三		さん	Three	N5	Vocabulary
346	散歩		さんぽする	to stroll	N5	Vocabulary
347	四		し / よん	Four	N5	Vocabulary
348	塩		しお	Salt	N5	Vocabulary
349			しかし	However	N5	Vocabulary
350	時間		じかん	Time	N5	Vocabulary
351	仕事		しごと	Job	N5	Vocabulary
352	辞書		じしょ	Dictionary	N5	Vocabulary
353	静か		しずか	Quiet	N5	Vocabulary
354	下		した	Below	N5	Vocabulary
355	七		しち / なな	Seven	N5	Vocabulary
356	質問		しつもん	Question	N5	Vocabulary
357	自転車		じてんしゃ	Bicycle	N5	Vocabulary
358	自動車		じどうしゃ	Automobile	N5	Vocabulary
359	死ぬ		しぬ	to die	N5	Vocabulary
360	字引		じびき	Dictionary	N5	Vocabulary
361	自分		じぶん	Oneself	N5	Vocabulary
362	閉まる		しまる	to close, to be closed	N5	Vocabulary
363	閉める		しめる	to close something	N5	Vocabulary
364	締める		しめる	to tie	N5	Vocabulary
365			じゃ/じゃあ	well then…	N5	Vocabulary
366	写真		しゃしん	photograph	N5	Vocabulary
367			シャツ	Shirt	N5	Vocabulary
368			シャワー	Shower	N5	Vocabulary
369	十		じゅう とお	Ten	N5	Vocabulary
370	授業		じゅぎょう	lesson, class work	N5	Vocabulary
371	宿題		しゅくだい	homework	N5	Vocabulary
372	上手		じょうず	Skillful	N5	Vocabulary
373	丈夫		じょうぶ	strong, durable	N5	Vocabulary
374			しょうゆ	soy sauce	N5	Vocabulary
375	食堂		しょくどう	dining hall	N5	Vocabulary
376	知る		しる	to know	N5	Vocabulary
377	白		しろ	White	N5	Vocabulary
378	白い		しろい	White	N5	Vocabulary
379	新聞		しんぶん	newspaper	N5	Vocabulary
380	水曜日		すいようび	Wednesday	N5	Vocabulary
381	吸う		すう	to smoke, to suck	N5	Vocabulary
382			スカート	Skirt	N5	Vocabulary
383	好き		すき	Likeable	N5	Vocabulary
384	少ない		すくない	a few	N5	Vocabulary
385			すぐに	Instantly	N5	Vocabulary
386	少し		すこし	Few	N5	Vocabulary
387	涼しい		すずしい	Refreshing	N5	Vocabulary
388			ストーブ	Heater	N5	Vocabulary
389			スプーン	Spoon	N5	Vocabulary
390			スポーツ	Sport	N5	Vocabulary
391			ズボン	Trousers	N5	Vocabulary
392	住む		すむ	to live in	N5	Vocabulary
393			スリッパ	Slippers	N5	Vocabulary
394			する	to do	N5	Vocabulary
395	座る		すわる	to sit	N5	Vocabulary
396	背		せ	height, stature	N5	Vocabulary
397	生徒		せいと	Pupil	N5	Vocabulary
398			セーター	sweater, jumper	N5	Vocabulary
399			せっけん	Economy	N5	Vocabulary
400	背広		せびろ	business suit	N5	Vocabulary
401	狭い		せまい	Narrow	N5	Vocabulary
402			ゼロ	Zero	N5	Vocabulary
403	千		せん	Thousand	N5	Vocabulary
404	先月		せんげつ	last month	N5	Vocabulary
405	先週		せんしゅう	last week	N5	Vocabulary
406	先生		せんせい	teacher, doctor	N5	Vocabulary
407	洗濯		せんたく	Washing	N5	Vocabulary
408	全部		ぜんぶ	All	N5	Vocabulary
409	掃除		そうじする	to clean, to sweep	N5	Vocabulary
410			そうして/そして	And	N5	Vocabulary
411			そこ	that place	N5	Vocabulary
412			そちら	over there	N5	Vocabulary
413			そっち	over there	N5	Vocabulary
414	外		そと	Outside	N5	Vocabulary
415			その	That	N5	Vocabulary
416			そば	near, beside	N5	Vocabulary
417	空		そら	Sky	N5	Vocabulary
418			それ	that	N5	Vocabulary
419			それから	after that	N5	Vocabulary
420			それでは	in that situation	N5	Vocabulary
421	大学		だいがく	university	N5	Vocabulary
422	大使館		たいしかん	embassy	N5	Vocabulary
423	大丈夫		だいじょうぶ	all right	N5	Vocabulary
424	大好き		だいすき	to be very likeable	N5	Vocabulary
425	大切		たいせつ	important	N5	Vocabulary
426	台所		だいどころ	kitchen	N5	Vocabulary
427			たいへん	very	N5	Vocabulary
428			たいへん	difficult situation	N5	Vocabulary
429	高い		たかい	tall, expensive	N5	Vocabulary
430			たくさん	many	N5	Vocabulary
431			タクシー	taxi	N5	Vocabulary
432	出す		だす	to put out	N5	Vocabulary
433	立つ		たつ	to stand	N5	Vocabulary
434			たて	length,height	N5	Vocabulary
435	建物		たてもの	building	N5	Vocabulary
436	楽しい		たのしい	enjoyable	N5	Vocabulary
437	頼む		たのむ	to ask	N5	Vocabulary
438			たばこ	tobacco,cigarettes	N5	Vocabulary
439			たぶん	probably	N5	Vocabulary
440	食べ物		たべもの	food	N5	Vocabulary
441	食べる		たべる	to eat	N5	Vocabulary
